,A10,A7,B8,C9,D10,E8,F9,G10,G7,H8
ENSMUSG00000102612,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104002,2,9,3,2,8,5,8,8,2,3
ENSMUSG00000037503,5457,2893,3258,3368,4338,4956,4547,4107,2957,2771
ENSMUSG00000104358,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026123,1888,973,1367,1670,2006,1638,1583,1371,1025,962
ENSMUSG00000045216,1108,605,813,1053,816,1336,990,1024,633,604
ENSMUSG00000104523,0,0,1,0,0,2,0,0,1,0
ENSMUSG00000102202,0,0,0,0,0,1,0,2,0,0
ENSMUSG00000037470,5442,3079,3723,5598,4491,4704,4805,4012,3749,3031
ENSMUSG00000098752,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000047180,0,77,12,17,48,12,0,7,59,144
ENSMUSG00000037447,265,589,375,249,932,304,445,241,379,835
ENSMUSG00000102762,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000010453,1437,1093,1338,1400,1838,1664,1477,1365,1168,1029
ENSMUSG00000037432,0,0,0,0,1,0,0,0,4,1
ENSMUSG00000001143,987,474,575,809,803,850,766,632,632,395
ENSMUSG00000037408,495,447,477,773,402,437,509,394,357,423
ENSMUSG00000104316,4,2,2,2,4,1,5,5,4,0
ENSMUSG00000001138,571,216,285,538,233,525,555,311,473,180
ENSMUSG00000067653,7,3,5,6,2,7,8,3,6,2
ENSMUSG00000079610,159,78,90,162,86,146,185,99,96,73
ENSMUSG00000026121,317,244,237,349,194,515,346,209,289,220
ENSMUSG00000087589,11,11,11,10,5,27,24,5,12,16
ENSMUSG00000046337,1,0,0,0,0,3,0,0,2,0
ENSMUSG00000089906,1,4,2,6,0,3,1,3,0,0
ENSMUSG00000061518,2948,4525,3081,4892,4152,2190,5040,2228,4705,3303
ENSMUSG00000037351,5548,2826,3246,4799,4900,4732,5549,4266,2833,3084
ENSMUSG00000102416,0,0,0,0,1,0,3,2,1,0
ENSMUSG00000106804,1,2,0,0,0,0,0,0,1,0
