"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"H1f3",2.32485094053723e-195,0.740565657524755,0.457,0.2,5.94743367608235e-191,"H1f3"
"Tra2b",5.77511150236142e-195,0.464958863656935,0.996,0.991,1.4773890245341e-190,"Tra2b"
"Tkt",9.69905885739125e-195,-0.317129204027062,0.998,1,2.48121323689783e-190,"Tkt"
"Macf1",4.17550390988305e-194,0.59052482721821,0.864,0.705,1.06817741022628e-189,"Macf1"
"Ube2m",1.0698943112667e-193,-0.287694407763567,1,1,2.73700362708247e-189,"Ube2m"
"Cnot1",1.35497141753012e-193,0.541240223740699,0.861,0.721,3.46628788032556e-189,"Cnot1"
"Ppp4r3a",1.56612970760126e-193,0.518460967792155,0.882,0.742,4.00647301798553e-189,"Ppp4r3a"
"Paxbp1",4.02969074384182e-193,0.582334570905732,0.795,0.614,1.03087548608961e-188,"Paxbp1"
"Snrnp200",6.18713771390881e-193,0.582017457996149,0.846,0.703,1.58279356997215e-188,"Snrnp200"
"Eif3i",1.44540852383634e-192,-0.26620285311732,1,1,3.69764408567813e-188,"Eif3i"
"Pds5a",2.21857652415922e-191,0.505964815558309,0.877,0.732,5.67556246410412e-187,"Pds5a"
"Pdcd11",5.86230258907939e-191,0.664552960922051,0.8,0.655,1.49969424833829e-186,"Pdcd11"
"Eml4",6.4525777406467e-191,0.562059749805205,0.922,0.843,1.65069843761224e-186,"Eml4"
"Kpna4",6.40133134769146e-190,0.578710742007673,0.873,0.77,1.63758858536643e-185,"Kpna4"
"Ddx39",1.14520240265314e-189,-0.31990397509192,1,1,2.92965678646727e-185,"Ddx39"
"Bclaf1",7.63559227916954e-189,0.442090121148379,0.994,0.979,1.95333721685715e-184,"Bclaf1"
"Cse1l",9.90738553245665e-189,0.494739915569992,0.938,0.873,2.53450736691306e-184,"Cse1l"
"Smarcc1",1.59193787131265e-188,0.462522217317666,0.996,0.988,4.07249546239202e-184,"Smarcc1"
"Farsb",2.9767977634326e-188,-0.448441064976264,0.837,0.94,7.61524403841328e-184,"Farsb"
"Rps29",8.50091493665041e-188,0.55966514577954,1,1,2.17470405909391e-183,"Rps29"
"Snhg8",9.69534293843982e-188,0.596116935786534,0.931,0.865,2.48026263051167e-183,"Snhg8"
"Akr1b3",2.22237058090599e-187,-0.45282789940849,0.99,0.994,5.6852684200737e-183,"Akr1b3"
"Ldha",6.31732525497257e-187,-0.299277650287181,1,1,1.61609814672708e-182,"Ldha"
"Cbx1",1.07017976376933e-186,0.356191000509943,1,1,2.7377338716747e-182,"Cbx1"
"Nap1l1",1.2738627882127e-186,0.264044154573659,1,1,3.25879578480574e-182,"Nap1l1"
"Birc6",1.56833801463697e-186,0.473996592935823,0.922,0.807,4.01212230904431e-182,"Birc6"
