"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Foxn3",4.87167891859935e-26,-0.258611422359352,0.69,0.775,1.24627290095609e-21,"Foxn3"
"Auts2",6.1058766937329e-26,0.277137168460908,0.792,0.708,1.56200537579075e-21,"Auts2"
"Actn1",6.19294659315367e-26,-0.274970193375516,0.789,0.849,1.58427959746057e-21,"Actn1"
"Ccnf",6.73589428423873e-26,-0.315780034029007,0.528,0.634,1.72317647579395e-21,"Ccnf"
"Ncoa4",1.26213122633946e-25,-0.250174674999664,0.364,0.489,3.2287841032216e-21,"Ncoa4"
"Rap2c",1.30601754719195e-25,0.265989182061982,0.513,0.377,3.34105408922645e-21,"Rap2c"
"Sec61a2",2.53085687542527e-25,-0.25160465277899,0.539,0.642,6.47443805871292e-21,"Sec61a2"
"Vps37b",2.81896822213036e-25,-0.267112822252396,0.383,0.507,7.2114845058539e-21,"Vps37b"
"Marf1",3.62539906256736e-25,-0.277028213234561,0.465,0.57,9.27449588185981e-21,"Marf1"
"Smarcd2",3.84867054393165e-25,-0.290415229312506,0.421,0.527,9.84566898548594e-21,"Smarcd2"
"Psat1",4.16802550042751e-25,-0.253195166088927,0.784,0.839,1.06626428351937e-20,"Psat1"
"Samd1",4.59017389390976e-25,-0.262318187330441,0.757,0.809,1.17425828553999e-20,"Samd1"
"Rtl8b",5.15963893174637e-25,-0.337155594761586,0.445,0.551,1.31993883151936e-20,"Rtl8b"
"Slc35a4",5.50413685901141e-25,-0.254940026006934,0.579,0.667,1.4080682912723e-20,"Slc35a4"
"Ppt2",6.13493559192471e-25,-0.257597489234571,0.508,0.606,1.56943922312618e-20,"Ppt2"
"Axin1",1.00936268381045e-24,-0.259132081920062,0.395,0.512,2.5821516177239e-20,"Axin1"
"Ugdh",1.32040496750348e-24,-0.288812828070493,0.646,0.731,3.37785998786741e-20,"Ugdh"
"Col4a1",1.34579904129582e-24,0.294631417250678,0.681,0.561,3.44282310744297e-20,"Col4a1"
"Hccs",1.57123573981125e-24,-0.261444321491951,0.462,0.572,4.01953526958513e-20,"Hccs"
