"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ctnnd1",1.27635888061935e-23,0.267563374213716,0.575,0.475,3.26518128840042e-19
"Ints7",1.71437483594713e-23,0.266963062117501,0.631,0.546,4.38571370531994e-19
"Zfp639",2.28891062446694e-23,0.271576859914725,0.727,0.666,5.85549115951132e-19
"Adgrl2",2.40133666042674e-23,0.263946975697494,0.883,0.827,6.14309944470368e-19
"Armcx2",3.45391954860122e-23,0.257890668789855,0.755,0.683,8.83581698923164e-19
"Ppwd1",4.53654368566611e-23,0.288303874329866,0.675,0.604,1.1605386056671e-18
"Epb41l4aos",4.62306177235582e-23,0.258530685327838,0.893,0.855,1.18267166260407e-18
"Zzz3",4.72976787160811e-23,0.281583992478846,0.754,0.698,1.20996921691479e-18
"Msantd4",5.19187489319067e-23,0.261697264968938,0.643,0.554,1.32818543517604e-18
"Asns",9.97069301605644e-23,-0.254169707142707,0.688,0.781,2.55070268736756e-18
"Phactr4",1.56798001215117e-22,0.32283294817095,0.58,0.515,4.01120646708514e-18
"Prpf6",1.65530387943082e-22,0.253333390523726,0.814,0.79,4.23459838435993e-18
"Greb1l",2.10424094631702e-22,0.300756404463517,0.692,0.618,5.3830691888682e-18
"Snhg17",2.18724961665398e-22,0.264395024158104,0.697,0.622,5.59542196932421e-18
"Ptk7",2.84014501602002e-22,0.341188726666697,0.661,0.549,7.26565897998242e-18
"H2ac18",4.09000768448219e-22,0.269904704431445,0.307,0.195,1.04630576584423e-17
"Acly",4.76780471872461e-22,0.261080886440237,0.78,0.701,1.21969980314413e-17
"Safb2",7.69929391450773e-22,0.273009395533882,0.713,0.65,1.96963336920937e-17
"Wdr70",8.87422402462742e-22,0.262058127125517,0.803,0.768,2.27020398998019e-17
"Gtf2a1",9.02408830266422e-22,0.2697819138685,0.642,0.552,2.30854226958756e-17
"Atp2c1",9.47873628247125e-22,0.261920235321537,0.617,0.523,2.42485031578179e-17
"Cbl",3.35226788873301e-21,0.260320075208499,0.588,0.512,8.57577171295679e-17
"Id1",3.83770266177741e-21,0.32667365415095,0.967,0.907,9.81761094935897e-17
"Amt",4.58415457180192e-21,0.293842965484002,0.502,0.4,1.17271842255837e-16
"Mkln1",4.75967277621101e-21,0.257428171148388,0.741,0.705,1.2176194896103e-16
"Dusp1",5.5591597154051e-21,0.281987707925032,0.409,0.294,1.42214423839493e-16
"Wdr1",9.2794342655598e-21,0.271619177415526,0.693,0.617,2.37386487381551e-16
"B020010K11Rik",1.24681493176206e-20,0.390214113188417,0.389,0.307,3.1896019584337e-16
"Fbxl14",1.55330476111478e-20,0.267247855631908,0.617,0.535,3.97366423988382e-16
"Aqr",1.6879247745676e-20,0.287054397062794,0.799,0.802,4.31804915829883e-16
